text,Favorites,Retweets,Tweet ID
You can watch 360 video live from the podium    RNCinCLE  TrumpIsWithYou  MakeAmericaGreatAgain,13067,3783,7.56E+17
This is a MOVEMENT  RNCinCLEpictwittercombdox6JcrAp,25381,8081,7.56E+17
Thank you  Proud of you  RNCinCLE  TrumpPence2016pictwittercomgobSNWughP,22591,6312,7.56E+17
Great job   RNCinCLE53124efda15de58e64b16d3d …,23783,6547,7.56E+17
Other than a small group of people who have suffered massive and embarrassing losses the party is VERY united Great love in the arena,38576,9598,7.56E+17
Ted Cruz talks about the Constitution but doesnt say that if the Dems win the Presidency the new JUSTICES appointed will destroy us all,32833,10817,7.56E+17
I am soooo proud of my children Don Eric and Tiffany  their speeches under enormous pressure were incredible Ivanka intros me tonight,43945,8236,7.56E+17
"Great job  Proud of you
 AmericaFirst  RNCinCLEpictwittercomS7IHXDrmsJ",26223,7097,7.56E+17
MAKE AMERICA GREAT AGAINpictwittercomqL9rjb7OsD,25672,8755,7.56E+17
Arena was packed totally electric,22345,4241,7.56E+17
 was fantastic tonight Will be a great VP,28596,6178,7.56E+17
"Our next Vice President of the United States of America Gov 
 GOPinCLE  GOPConvention
 AmericaFirstpictwittercomTZT3XcKp1c",26031,7182,7.56E+17
Wow Ted Cruz got booed off the stage didnt honor the pledge I saw his speech two hours early but let him speak anyway No big deal,70777,21521,7.56E+17
"Great job  Proud of you 
 AmericaFirst  RNCinCLE
",39978,12306,7.56E+17
"Thank you   AmericaFirst
 RNCinCLEpictwittercomk2Poy3gGvQ",19654,6293,7.56E+17
Thank you to Governor  for such warm support Great speech,19775,4435,7.56E+17
Thank you   AmericaFirstpictwittercomcv3I3xRSOK,28092,9984,7.56E+17
 AmericaFirst  RNCinCLEd255437ab8406ee56de03480 …,13143,4851,7.56E+17
"Watching the  GOPConvention
 AmericaFirst  RNCinCLE",12735,2831,7.56E+17
John Kasich was never asked by me to be VP Just arrived in Cleveland  will be a great two days,20266,5065,7.56E+17
"STATEMENT ON MELANIA SPEECH
onmelaniatrumpspeech1 …",18225,6369,7.56E+17
The media is spending more time doing a forensic analysis of Melanias speech than the FBI spent on Hillarys emails,241778,122619,7.56E+17
Good news is Melanias speech got more publicity than any in the history of politics especially if you believe that all press is good press,51320,13467,7.56E+17
In November I think the people of Ohio will remember that the Republicans picked Cleveland instead of going to another state Jobs,25391,5843,7.56E+17
Bill Hemmer of  was very nice in explaining the excitement and energy in the arena More than in past years,15402,3470,7.56E+17
Congratulations to my children Don and Tiffany on having done a fantastic job last night I am very proud of you,38262,6626,7.56E+17
Such a great honor to be the Republican Nominee for President of the United States I will work hard and never let you down AMERICA FIRST,128121,41931,7.56E+17
The ROLL CALL is beginning at the Republican National Convention Very exciting,21930,4249,7.56E+17
" MakeAmericaWorkAgain
 TrumpPence16  RNCinCLE
",21182,8102,7.56E+17
" MakeAmericaWorkAgain
 TrumpPence16  RNCinCLE
",21388,8167,7.55E+17
  Democrats are coming to TRUMP I used to be proud of the dem party No more It is crooked and not for the people,24874,7431,7.55E+17
It was truly an honor to introduce my wife Melania Her speech and demeanor were absolutely incredible Very proud  GOPConvention,57241,12983,7.55E+17
Will be on  tonight at 830pm  prior to Melanias speech at the  GOPConvention Tune in she will do great  RNCinCLE,14613,2965,7.55E+17
" MakeAmericaSafeAgain
 GOPConvention  RNCinCLE
",20531,8093,7.55E+17
Networks other than low ratings  have been very fair and exciting,16711,4230,7.55E+17
 is the worstThey go to their dumb onesided panels when a podium speaker is for Trump VAST MAJORITY want Make America Great Again,30418,8430,7.55E+17
Looking forward to being at the convention tonight to watch all of the wonderful speakers including my wife Melania Place looks beautiful,29469,6795,7.55E+17
"Thank you Mahoning County Ohio See you soon  MakeAmericaSafeAgain
",15421,5015,7.55E+17
President Obama just had a news conference but he doesnt have a clue Our country is a divided crime scene and it will only get worse,40180,12778,7.55E+17
Our country is totally divided and our enemies are watching We are not looking good we are not looking smart we are not looking tough,43306,15523,7.55E+17
 DonaldTrump and his running mate  to appear on  60Minutes in first joint interview CBS  ,12828,4199,7.55E+17
I will be on  tonight at 700 PM with Mike Pence talking about LAW AND ORDER and many other subjects Bad times for divided USA,19159,5384,7.55E+17
We are TRYING to fight ISIS and now our own people are killing our police Our country is divided and out of control The world is watching,86168,36401,7.55E+17
"We grieve for the officers killed in Baton Rouge today How many law enforcement and people have to
 …",25830,9867,7.55E+17
The ratings at  blow away the ratings of   not even close Thats because CNN is the Clinton News Network and people dont like,29478,8941,7.55E+17
 is much better and far more truthful than  which is all negative Guests are stacked for Crooked Hillary I dont watch,20469,5546,7.55E+17
If Goofy Elizabeth Warren a very weak Senator didnt lie about her heritage being Native American she would be nothing today Pick her H,21994,6131,7.55E+17
I hope that Crooked Hillary picks Goofy Elizabeth Warren sometimes referred to as Pocahontas as her VP Then we can litigate her fraud,23788,7214,7.55E+17
It doesnt matter that Crooked Hillary has experience look at all of the bad decisions she has made Bernie said she has bad judgement,21869,6364,7.55E+17
As the days and weeks go by  we see what a total mess our country and world is in  Crooked Hillary Clinton led Obama into bad decisions,19955,5996,7.55E+17
We are going to have a great time in Cleveland Will lead to special results for our country We will Make America Great Again,23017,6218,7.55E+17
Goofy Elizabeth Warren who may be the least productive Senator in the US Senate must prove she is not a fraud Without the con its over,20504,5719,7.55E+17
Thank you to Jack Morgan Tamara Neo Cheryl Ann Kraft and all of my friends and supporters in Virginia GREAT JOB,12952,2868,7.55E+17
 Great news Weve been nominated for Irelands Best Golf Hotel 2016We would appreciate your vote internationalgolflinkshoteldoonbeg2016 …,11781,2745,7.55E+17
Thank you to Chris Cox and Bikers for Trump  Your support has been amazing I will never forget MAKE AMERICA GREAT AGAIN,21254,6413,7.55E+17
Thank you  TrumpPence16pictwittercomRHprMCsGT6,36167,10322,7.54E+17
Crooked Hillary Clinton is bought and paid for by Wall Street lobbyists and special interests She will sell our country down the tubes,27608,9374,7.54E+17
